year,doc,src,contrib,(root),config,migration,MIGRATION,ChangeLogs
1996,17,172,3,7,0,0,0,0
1997,34,513,10,36,0,3,2,0
1998,52,814,30,31,0,5,0,0
1999,238,641,20,11,0,0,0,0
2000,433,418,21,82,2,0,0,0
2001,748,570,107,87,2,0,0,1
2002,754,622,141,74,1,0,0,0
2003,506,467,59,94,5,0,0,0
2004,526,616,38,74,17,0,0,0
2005,730,420,40,21,5,0,0,0
2006,604,405,40,20,3,0,0,0
2007,584,189,24,13,3,0,0,0
2008,368,99,9,8,0,0,0,0
2009,118,95,7,11,0,0,0,0
2010,190,112,67,3,2,0,0,0
2011,163,126,114,2,0,0,0,0
2012,102,74,71,3,0,0,0,0
2013,97,49,41,1,0,0,0,0
2014,113,91,48,1,1,0,0,0
2015,62,67,9,1,0,0,0,0
2016,26,12,1,1,0,0,0,0
2017,52,12,3,2,0,0,0,0
2018,68,27,3,1,1,0,0,0
2019,67,13,1,1,0,0,0,0
2020,104,40,1,1,0,0,0,0
2021,51,21,7,1,1,0,0,0
2022,72,2,2,1,0,0,0,0
2023,105,21,4,2,0,0,0,0
2024,81,10,1,1,0,0,0,0
2025,75,8,1,1,1,0,0,0
2026,16,1,1,1,1,0,0,0
