year,Tom Lane,Bruce Momjian,Peter Eisentraut,Robert Haas,Michael Paquier,Alvaro Herrera,Heikki Linnakangas,Andres Freund,Marc G. Fournier,Thomas G. Lockhart
1996,0,197,0,0,0,0,0,0,501,0
1997,0,558,0,0,0,0,0,0,499,299
1998,83,872,0,0,0,0,0,0,381,331
1999,501,816,0,0,0,0,0,0,43,191
2000,857,833,331,0,0,0,0,0,17,160
2001,844,1391,396,0,0,0,0,0,25,52
2002,752,1424,166,0,0,0,0,0,5,45
2003,862,999,238,0,0,0,0,0,6,0
2004,862,1156,169,0,0,0,0,0,0,0
2005,899,1120,67,0,0,20,0,0,0,0
2006,744,982,88,0,0,24,0,0,0,0
2007,767,764,133,0,0,84,0,0,4,0
2008,639,459,140,0,0,100,64,0,2,0
2009,599,205,249,10,0,59,81,0,5,0
2010,591,342,134,204,0,43,130,0,3,0
2011,603,376,252,316,0,74,139,0,0,0
2012,498,222,266,201,0,80,137,0,0,0
2013,333,166,199,121,0,101,151,0,0,0
2014,439,218,141,165,0,90,253,95,0,0
2015,496,129,124,223,0,136,165,157,0,0
2016,841,37,226,348,0,115,74,82,0,0
2017,709,61,554,400,0,122,81,156,0,0
2018,642,95,325,100,159,191,32,160,0,0
2019,491,79,300,44,301,161,29,159,0,0
2020,567,132,260,48,244,122,56,59,0,0
2021,550,65,249,74,287,121,44,55,0,0
2022,481,74,317,122,323,138,16,243,0,0
2023,336,121,284,57,317,67,59,144,0,0
2024,326,89,345,87,304,102,187,26,0,0
2025,348,80,357,39,358,0,88,144,0,0
2026,95,16,135,48,139,0,97,62,0,0
